program_id,school,program,result,season,out_date,submit_date,method,tid,fin
46,BERKELEY,MFE,AD无奖,2024 Spring,2023-04-06,2023-03-20,邮件,0,
46,BERKELEY,Master of Financial Engineering,Waiting,2023 Fall,2023-03-15,2023-01-17,邮件,0,
46,BERKELEY,MFE,Waiting,2023 Fall,2023-03-15,2023-01-15,网申,0,
46,BERKELEY,MFE,AD无奖,2024 Spring,2023-02-13,2023-01-01,邮件,0,
46,BERKELEY,MFE,AD无奖,2024 Spring,2023-02-07,2022-12-24,邮件,0,
46,BERKELEY,MFE,AD无奖,2023 Spring,2022-10-29,2022-10-07,网申,0,
46,BERKELEY,MFE,Waiting,2023 Spring,2022-08-09,2022-06-26,邮件,0,
46,BERKELEY,MFE,Waiting,2022 Fall,2022-08-09,2022-06-22,邮件,0,
46,BERKELEY,Master of Financial Engineering,AD无奖,2022 Fall,2022-04-27,2022-01-13,网申,0,
46,BERKELEY,MFE,AD无奖,2023 Spring,2022-04-09,2022-03-21,邮件,0,
46,BERKELEY,MFE,AD无奖,2023 Spring,2022-04-05,2022-01-17,邮件,0,
46,BERKELEY,MFE,AD无奖,2023 Spring,2022-02-18,2022-01-13,网申,0,
46,BERKELEY,MFE,AD无奖,2023 Spring,2022-02-09,2022-01-16,邮件,0,
46,BERKELEY,MFE,AD无奖,2022 Spring,2021-10-18,2021-09-30,邮件,0,
46,BERKELEY,MFE,AD无奖,2022 Spring,2021-11-03,2021-09-30,网申,0,
46,BERKELEY,MFE,Waiting,2022 Spring,2021-10-06,2021-09-14,网申,0,
46,BERKELEY,MFE,AD无奖,2023 Spring,2021-08-20,,邮件,0,自费AD
46,BERKELEY,MFE,AD无奖,2022 Spring,2021-05-13,2021-01-20,网申,0,
46,BERKELEY,Master of Financial Engineering,Waiting,2022 Spring,2021-05-27,2021-04-01,网申,0,
46,BERKELEY,MFE,AD无奖,2022 Spring,2021-05-25,2021-04-05,网申,0,自费AD
46,BERKELEY,MFE,AD无奖,2022 Spring,2021-03-16,2021-01-10,网申,0,
46,BERKELEY,MFE,Waiting,2022 Spring,2021-03-11,2021-01-13,邮件,0,
46,BERKELEY,MFE,Waiting,2022 Spring,2021-03-13,2021-01-13,邮件,0,
46,BERKELEY,MFE,Waiting,2022 Spring,2021-03-10,2021-01-05,邮件,0,
46,BERKELEY,MFE,Waiting,2022 Spring,2021-03-10,2021-01-14,网申,0,
46,BERKELEY,MFE,AD无奖,2021 Spring,2021-03-09,2020-08-01,网申,0,
46,BERKELEY,MFE,AD无奖,2021 Fall,2021-03-09,2021-01-14,网申,0,
46,BERKELEY,MFE,AD无奖,2022 Spring,2021-03-09,2020-12-31,网申,0,
46,BERKELEY,MFE,AD无奖,2022 Spring,2021-03-06,2021-01-12,网申,0,
46,BERKELEY,MFE,Reject,2022 Spring,2021-03-03,2021-01-15,邮件,0,
46,BERKELEY,MFE,AD无奖,2022 Spring,2021-02-18,2021-01-10,邮件,0,
46,BERKELEY,MFE,AD无奖,2022 Spring,2021-02-18,2021-01-14,邮件,0,
46,BERKELEY,MFE,AD无奖,2022 Spring,2020-11-12,2020-09-18,网申,0,
46,BERKELEY,MFE,Waiting,2021 Spring,2020-10-20,2020-09-01,网申,0,
46,BERKELEY,MFE,AD无奖,2021 Spring,2020-08-22,2020-06-01,邮件,0,
46,BERKELEY,MFE,Waiting,2021 Spring,2020-05-25,2020-04-01,网申,0,自费AD
46,BERKELEY,MFE,AD无奖,2021 Spring,2020-05-19,2020-04-06,网申,0,自费AD
46,BERKELEY,MFE,AD无奖,2020 Fall,2020-03-06,,网申,0,自费AD
46,BERKELEY,MFE,Reject,2020 Fall,2020-03-05,2019-12-15,邮件,0,自费AD
46,BERKELEY,MFE,AD无奖,2020 Fall,2020-02-20,2020-01-06,邮件,0,自费AD
46,BERKELEY,MFE,AD无奖,2020 Fall,2020-03-11,,邮件,0,自费AD
46,BERKELEY,MFE,AD无奖,2020 Fall,2020-03-07,2020-01-09,网申,0,自费AD
46,BERKELEY,MFE,AD无奖,2020 Spring,2019-05-01,2019-01-01,网申,0,自费AD
87,BU,MS in Mathematical Finance,AD无奖,2025 Fall,2025-01-04,2024-11-17,邮件,0,
87,BU,Mathematical Finance,AD小奖,2023 Fall,2023-04-20,,,0,自费AD
87,BU,Mathematical Finance,AD无奖,2023 Fall,2023-03-14,2023-02-15,邮件,0,自费AD
87,BU,MS in Mathematical Finance,AD无奖,2023 Fall,2023-03-15,2023-01-19,邮件,0,
87,BU,Mathematical Finance,AD小奖,2023 Fall,2023-03-01,2022-12-14,邮件,0,
87,BU,Mathematical Finance,AD小奖,2023 Fall,2023-01-20,2022-11-18,邮件,0,
87,BU,Mathematical Finance,AD小奖,2022 Fall,2022-04-07,2022-02-08,邮件,0,
87,BU,MS in Mathematical Finance,Reject,2022 Fall,2022-04-08,2022-02-02,邮件,0,
87,BU,Mathematical Finance,AD无奖,2022 Fall,2022-04-07,2022-03-10,邮件,0,
87,BU,MS in Mathematical Finance,AD小奖,2022 Fall,2022-03-19,2022-01-31,邮件,0,
87,BU,MS in Mathematical Finance,AD无奖,2022 Fall,2022-03-19,2022-03-01,邮件,0,
87,BU,Mathematical Finance,AD小奖,2022 Fall,2022-03-19,2022-01-27,邮件,0,
87,BU,Mathematical Finance,AD无奖,2022 Fall,2022-03-19,,网申,0,自费AD
87,BU,Mathematical Finance,AD小奖,2022 Fall,2022-03-19,2021-12-01,邮件,0,
87,BU,MS in Mathematical Finance,AD无奖,2022 Fall,2022-03-19,2022-01-19,邮件,0,
87,BU,Mathematical Finance,AD无奖,2022 Fall,2022-03-18,2022-01-30,邮件,0,
87,BU,Mathematical Finance,AD小奖,2022 Fall,2022-03-18,2022-02-09,邮件,0,
87,BU,Mathematical Finance,Waiting,2022 Fall,2022-01-08,2021-10-30,邮件,0,
87,BU,Mathematical Finance,AD无奖,2022 Fall,2021-12-20,2021-11-04,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2020-01-01,2019-11-01,邮件,0,
87,BU,MS in Mathematical Finance,AD无奖,2021 Fall,2021-04-08,2021-02-03,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-29,2021-02-25,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-04-02,2021-02-25,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-04-13,2021-04-30,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-29,2021-02-23,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2021 Fall,2021-04-09,2021-04-25,邮件,0,
87,BU,Mathematical Finance,AD小奖,2021 Fall,2021-04-02,2021-02-23,邮件,0,
87,BU,MS in Mathematical Finance,AD无奖,2021 Fall,2021-03-29,2021-02-15,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-29,2021-02-13,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-29,2021-02-25,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-18,2021-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-08,2021-02-03,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-08,2021-01-31,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-08,2021-02-03,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-03,2021-01-10,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-02-20,2021-01-15,邮件,0,
87,BU,Mathematical Finance,Waiting,2021 Fall,2021-02-06,2020-11-13,邮件,0,
87,BU,Mathematical Finance,Waiting,2021 Fall,2021-02-05,2020-11-12,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-02-01,2020-11-09,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-02-01,2020-11-27,邮件,0,
87,BU,Mathematical Finance,AD小奖,2021 Fall,2021-02-01,2020-11-13,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-02-01,2020-11-09,邮件,0,
87,BU,Mathematical Finance,AD小奖,2021 Fall,2021-02-01,2020-11-13,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-02-02,2020-11-13,邮件,0,
87,BU,Mathematical Finance,AD小奖,2021 Fall,2021-02-01,2020-12-07,邮件,0,
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-20,,邮件,0,自费AD
87,BU,Mathematical Finance,AD小奖,2020 Fall,2020-05-19,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-05-14,,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-05-04,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-04-07,2020-01-29,邮件,0,自费AD
87,BU,Mathematical Finance,AD小奖,2020 Fall,2020-04-07,2020-01-10,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-04-07,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-21,2020-02-03,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-19,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-21,2020-02-03,网申,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-21,2020-01-16,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-20,2020-02-03,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-21,2020-01-09,邮件,0,自费AD
87,BU,Mathematical Finance,Reject,2020 Fall,2020-03-20,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-20,2020-01-01,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-20,2020-01-01,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-20,2020-01-15,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-01,2020-01-13,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,2020-01-24,邮件,0,自费AD
87,BU,Mathematical Finance,AD小奖,2020 Fall,2020-03-05,2020-01-09,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,2020-01-10,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,2020-01-09,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-06,2020-01-08,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-06,2020-01-12,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,2020-01-10,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-02,2020-01-11,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-09,2019-11-05,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-02-26,2020-01-24,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-21,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-17,2019-11-06,邮件,0,全奖Offer
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-06,邮件,0,全奖Offer
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-02-06,,,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-23,2019-12-31,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-17,2019-11-08,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-02,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-06,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-10-28,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-10,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2017-11-06,邮件,0,全奖Offer
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-04,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-05,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-09,2019-11-05,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-01,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-01-10,2019-11-01,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2025 Fall,2025-04-11,,,0,自费AD
129,CMU,MSCF,AD无奖,2024 Fall,2024-03-09,2023-11-15,邮件,0,
129,CMU,MSCF,Reject,2024 Fall,2024-02-29,2023-12-02,网申,0,
129,CMU,MSCF,AD无奖,2023 Fall,2023-05-01,2023-03-05,网申,0,
129,CMU,MSCF,AD无奖,2023 Fall,2023-03-02,2022-12-05,邮件,0,
129,CMU,MS in Computational Finance,Reject,2023 Fall,2023-03-01,2022-12-15,网申,0,
129,CMU,MSCF,AD无奖,2023 Fall,2023-03-01,2022-12-12,邮件,0,
129,CMU,MSCF,AD无奖,2023 Fall,2023-03-02,2022-12-03,网申,0,
129,CMU,MSCF,AD无奖,2023 Fall,2023-03-01,2022-12-01,邮件,0,
129,CMU,MS in Computational Finance,Reject,2023 Fall,2023-03-01,2022-12-05,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-05-02,2021-12-10,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-05-02,2022-03-09,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-05-02,2022-03-10,邮件,0,
129,CMU,MS in Computational Finance,Waiting,2022 Fall,2022-05-03,2022-03-06,网申,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-05-02,2022-02-08,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-05-02,2021-12-15,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,,,0,自费AD
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-05,,,0,自费AD
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,,,0,自费AD
129,CMU,MS in Computational Finance,AD无奖,2022 Fall,2022-03-03,2021-12-03,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-05,网申,0,
129,CMU,MSCF,Reject,2022 Fall,2022-03-04,2021-12-01,网申,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-04,2021-12-01,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-04,2021-12-05,网申,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-05,网申,0,
129,CMU,MS in Computational Finance,Reject,2022 Fall,2022-03-03,2021-12-03,网申,0,
129,CMU,MS in Computational Finance,Reject,2022 Fall,2022-03-04,2021-12-03,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-04,2021-12-15,邮件,0,
129,CMU,MSCF,Reject,2022 Fall,2022-03-04,2021-12-01,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-02,网申,0,
129,CMU,MSCF,Reject,2022 Fall,2022-03-04,2021-11-27,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-05,邮件,0,
129,CMU,MS in Computational Finance,AD无奖,2022 Fall,2022-03-03,2021-12-05,网申,0,
129,CMU,MSCF,AD小奖,2022 Fall,2022-03-03,2021-12-01,邮件,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-05,网申,0,
129,CMU,MSCF,AD无奖,2022 Fall,2022-03-03,2021-12-05,网申,0,
129,CMU,MS in Computational Finance,Reject,2021 Fall,2021-05-05,2021-03-15,网申,0,
129,CMU,MS in Computational Finance,AD无奖,2021 Fall,2021-05-05,2021-03-15,邮件,0,
129,CMU,MSCF,Reject,2021 Fall,2021-05-06,2020-12-08,邮件,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-05-06,2021-03-15,邮件,0,
129,CMU,MS in Computational Finance,AD无奖,2021 Fall,2021-05-06,2021-01-28,网申,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-05-05,2020-12-10,网申,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-09,2020-12-15,邮件,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-08,2020-12-08,邮件,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-08,2020-12-10,网申,0,
129,CMU,MSCF,Waiting,2021 Fall,2021-03-08,2020-12-10,网申,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-09,2020-12-09,网申,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-08,2020-12-10,邮件,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-09,2020-12-10,邮件,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-09,2020-12-01,网申,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-09,2021-03-15,邮件,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-08,2020-12-14,邮件,0,
129,CMU,MSCF,Waiting,2021 Fall,2021-03-09,2021-11-25,邮件,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-09,2020-12-09,邮件,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-08,2020-12-10,邮件,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-08,2021-01-14,网申,0,
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-11-01,邮件,0,
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-12,2019-12-10,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-05-05,2018-03-15,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-05-05,2019-12-10,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-05-05,2020-01-01,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-01,网申,0,自费AD
129,CMU,MSCF,Reject,2020 Fall,2020-03-10,2019-11-14,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-15,邮件,0,自费AD
129,CMU,MSCF,Reject,2020 Fall,2020-03-10,2019-12-09,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-15,网申,0,自费AD
129,CMU,MSCF,Waiting,2020 Fall,2020-03-10,2019-12-09,网申,0,自费AD
129,CMU,MSCF,Reject,2020 Fall,2020-03-10,2019-12-01,网申,0,自费AD
129,CMU,MSCF,Waiting,2020 Fall,2020-03-11,2019-12-09,网申,0,自费AD
129,CMU,MSCF,Reject,2020 Fall,2020-03-11,2019-12-15,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-10,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-11,,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-20,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-11,2019-12-09,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-11,2019-12-10,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-11,,网申,0,自费AD
129,CMU,MSCF,Waiting,2020 Fall,2020-03-11,2019-12-10,网申,0,全奖Offer
129,CMU,MSCF,Waiting,2020 Fall,2020-03-11,2019-12-10,网申,0,全奖Offer
129,CMU,MSCF,Reject,2020 Fall,2020-03-11,2019-12-10,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-11,2019-12-09,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-10,网申,0,自费AD
